Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,7,Weekend,1200,2-Car,No injury,IMPROPER TURNING,JORDAN & THIRD,39.16427532,-86.51640856
2015,1,6,Weekday,1600,2-Car,No injury,IMPROPER TURNING,W 3RD,39.228944,-86.627504
2015,1,6,Weekday,1800,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,4TH & WASHINGTON,39.165648,-86.5324
2015,1,6,Weekday,1800,1-Car,No injury,RAN OFF ROAD RIGHT,KOONTZ & W DUVALL,39.079248,-86.619792
2015,1,7,Weekend,1500,2-Car,No injury,UNSAFE BACKING,E 10TH,39.17168,-86.527024
2015,1,7,Weekend,1700,1-Car,No injury,IMPROPER TURNING,INDIANA & SEVENTH,39.16851475,-86.52695381
2015,1,7,Weekend,1600,Moped/Motorcycle,No injury,FAILURE TO YIELD RIGHT OF WAY,E GRAMERCY PARK & N HINKLE,39.21040021,-86.50542967
2015,1,7,Weekend,1800,2-Car,non-funcitonal,FAILURE TO YIELD RIGHT OF WAY,NORTH KINSER & SR46E,39.186544,-86.537888
2015,1,4,Weekday,1800,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,SR37S & WEST WAYSIDE,39.10921097,-86.53382873
2015,1,7,Weekend,1500,2-Car,No injury,UNSAFE BACKING,S COLLEGE MALL,39.175152,-86.534752
2015,1,7,Weekend,1500,3+ Cars,No injury,UNSAFE LANE MOVEMENT,S WALNUT & W COUNTRY CLUB,0,0
2015,1,7,Weekend,1600,2-Car,functional,FAILURE TO YIELD RIGHT OF WAY,E 3RD & OVERHILL,39.164272,-86.501488
2015,1,5,Weekday,1500,1-Car,No injury,ANIMAL/OBJECT IN ROADWAY,NORTH TEXAS RIDGE,39.31562042,-86.66162872
2015,1,6,Weekday,1600,2-Car,No injury,FOLLOWING TOO CLOSELY,EAST SMITHVILLE,39.071056,-86.5356
2015,1,6,Weekend,1900,1-Car,No injury,RAN OFF ROAD RIGHT,SOUTH BREEDEN & SR45W,39.0873344,-86.67042215
2015,1,7,Weekend,1100,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,GATES & SR45W,39.16820908,-86.57639312
2015,1,1,Weekend,800,1-Car,No injury,RAN OFF ROAD RIGHT,CAVE ROAD & W AIRPORT ROAD,39.13688,-86.628768
2015,1,1,Weekend,900,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,MILLER & S WALNUT,39.146944,-86.532544
2015,1,1,Weekend,1200,2-Car,No injury,BRAKE FAILURE OR DEFECTIVE,2101 S LIBERTY & W 2ND,0,0
2015,1,7,Weekend,2100,2-Car,No injury,FOLLOWING TOO CLOSELY,N MARY & W REEVES,39.231312,-86.636704
2015,1,1,Weekend,1400,2-Car,No injury,FOLLOWING TOO CLOSELY,E 3RD & S JEFFERSON,39.164304,-86.506992
2015,1,6,Weekday,700,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BURMA & SR37,39.31831096,-86.51055935
2015,1,1,Weekend,800,1-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,39.16351024,-86.41786097
2015,1,1,Weekend,900,1-Car,No injury,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,39.16351024,-86.41786097
2015,1,1,Weekday,2200,1-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S MONON,39.1506691,-86.53471374
